,Los Angeles,obitos/100k
0,21.0,0.2568765547912187
1,27.0,0.3302698561601383
2,33.0,0.4036631575290579
3,37.0,0.4525920251083377
4,44.0,0.5382175433720773
5,54.0,0.6605397123202766
6,65.0,0.7950940981632959
7,78.0,0.9541129177959551
8,89.0,1.0886673036389745
9,117.0,1.4311693766939328
10,132.0,1.6146526301162316
11,147.0,1.7981358835385308
12,169.0,2.0672446552245693
13,198.0,2.4219789451743474
14,223.0,2.727784367544846
15,241.0,2.947964271651605
16,265.0,3.241537477127283
17,296.0,3.6207362008667014
18,320.0,3.91430940634238
19,360.0,4.4035980821351774
20,402.0,4.917351191717615
21,455.0,5.565658687143071
22,495.0,6.054947362935869
23,576.0,7.045756931416284
24,600.0,7.339330136891963
25,617.0,7.547277824103902
26,663.0,8.109959801265619
27,729.0,8.917286116323734
28,797.0,9.74907686517149
29,850.0,10.397384360596947
30,895.0,10.947834120863844
31,913.0,11.168014024970603
32,942.0,11.522748314920381
33,1000.0,12.232216894819938
34,1056.0,12.917221040929853
35,1111.0,13.589992970144952
36,1172.0,14.336158200728967
37,1209.0,14.788750225837305
38,1229.0,15.033394563733705
39,1256.0,15.36366441989384
40,1313.0,16.060900782898578
41,1367.0,16.721440495218854
42,1418.0,17.34528355685467
43,1468.0,17.95689440159567
44,1512.0,18.495111944967746
45,1530.0,18.715291849074504
46,1569.0,19.19234830797248
47,1613.0,19.730565851344558
48,1659.0,20.293247828506278
49,1659.0,20.293247828506278
50,1755.0,21.467540650408992
51,1793.0,21.932364892412146
52,1821.0,22.274866965467105
53,1839.0,22.495046869573866
54,1913.0,23.40023091979054
55,1970.0,24.09746728279528
56,2016.0,24.660149259956995
57,2049.0,25.06381241748605
58,2090.0,25.565333310173667
59,2104.0,25.736584346701147
60,2116.0,25.883370949438987
61,2143.0,26.213640805599127
62,2195.0,26.84971608412976
63,2241.0,27.41239806129148
64,2290.0,28.011776689137655
65,2338.0,28.598923100089014
66,2362.0,28.89249630556469
67,2384.0,29.16160507725073
68,2443.0,29.883305874045107
69,2489.0,30.445987851206826
70,2531.0,30.95974096078926
71,2565.0,31.37563633521314
72,2620.0,32.04840826442824
73,2645.0,32.35421368679874
74,2655.0,32.47653585574693
75,2707.0,33.11261113427757
76,2768.0,33.85877636486158
77,2813.0,34.409226125128484
78,2832.0,34.641638246130064
79,2890.0,35.35110682602962
80,2907.0,35.559054513241556
81,2926.0,35.791466634243136
82,2959.0,36.195129791772196
83,2991.0,36.58656073240643
84,3027.0,37.02692054061995
85,3063.0,37.46728034883347
86,3110.0,38.04219454289001
87,3120.0,38.16451671183821
88,3137.0,38.372464399050145
89,3171.0,38.78835977347402
90,3205.0,39.204255147897904
91,3246.0,39.70577604058552
92,3267.0,39.96265259537673
93,3285.0,40.182832499483496
94,3305.0,40.42747683737989
95,3326.0,40.68435339217111
96,3369.0,41.21033871864837
97,3402.0,41.614001876177426
98,3454.0,42.250077154708066
99,3454.0,42.250077154708066
100,3454.0,42.250077154708066
101,3487.0,42.65374031223712
102,3534.0,43.22865450629366
103,3579.0,43.77910426656056
104,3642.0,44.54973393093421
105,3689.0,45.12464812499075
106,3738.0,45.72402675283693
107,3793.0,46.39679868205202
108,3809.0,46.59251415236914
109,3822.0,46.7515329720018
110,3894.0,47.632252588428834
111,3936.0,48.14600569801127
112,3988.0,48.782080976541906
113,4047.0,49.503781773336286
114,4084.0,49.95637379844463
115,4095.0,50.09092818428764
116,4104.0,50.20101813634102
117,4154.0,50.81262898108202
118,4213.0,51.534329777876394
119,4262.0,52.13370840572258
120,4300.0,52.59853264772573
121,4351.0,53.22237570936155
122,4360.0,53.33246566141493
123,4375.0,53.51594891483723
124,4426.0,54.13979197647304
125,4516.0,55.24069149700684
126,4552.0,55.68105130522035
127,4621.0,56.52507427096294
128,4669.0,57.11222068191428
129,4692.0,57.393561670495146
130,4701.0,57.503651622548524
131,4758.0,58.20088798555326
132,4825.0,59.0204465175062
133,4869.0,59.55866406087828
134,4918.0,60.15804268872445
135,4967.0,60.75742131657063
136,4977.0,60.87974348551883
137,4996.0,61.1121556065204
138,5057.0,61.85832083710443
139,5109.0,62.494396115635055
140,5171.0,63.2527935631139
141,5214.0,63.77877888959115
142,5245.0,64.15797761333057
143,5254.0,64.26806756538394
144,5273.0,64.50047968638553
145,5335.0,65.25887713386436
146,5392.0,65.9561134968691
147,5446.0,66.61665320918938
148,5491.0,67.16710296945628
149,5537.0,67.72978494661798
150,5545.0,67.82764268177655
151,5558.0,67.98666150140922
152,5605.0,68.56157569546575
153,5663.0,69.27104427536531
154,5701.0,69.73586851736846
155,5732.0,70.11506724110788
156,5759.0,70.44533709726801
157,5769.0,70.56765926621622
158,5784.0,70.75114251963852
159,5829.0,71.30159227990542
160,5878.0,71.9009709077516
161,5932.0,72.56151062007187
