Dias apos 20o caso,New York City,obitos/100k
0,25.0,0.30580542237049846
1,31.0,0.3791987237394181
2,54.0,0.6605397123202766
3,75.0,0.9174162671114954
4,119.0,1.4556338104835724
5,155.0,1.89599361869709
6,230.0,2.8134098858085856
7,330.0,4.0366315752905795
8,435.0,5.321014349246673
9,560.0,6.850041461099165
10,825.0,10.09157893822645
11,991.0,12.122126942766558
12,1202.0,14.703124707573565
13,1475.0,18.04251991985941
14,1848.0,22.605136821627244
15,2152.0,26.323730757652505
16,2648.0,32.3909103374832
17,3221.0,39.39997061821502
18,3646.0,44.598662798513494
19,4857.0,59.41187745814044
20,5631.0,68.87961333473108
21,6441.0,78.78770901953521
22,7249.0,88.67134027054972
23,7981.0,97.62532303755792
24,8734.0,106.83618235935734
25,9448.0,115.56998522225877
26,10096.0,123.49646177010209
27,10857.0,132.80517882706008
28,11566.0,141.47782060548738
29,12109.0,148.11991437937462
30,12283.0,150.2483201190733
31,12411.0,151.81404388161025
32,13632.0,166.74958071018537
33,14074.0,172.1562205776958
34,14513.0,177.52616379452175
35,14959.0,182.98173252961146
36,15361.0,187.89908372132905
37,15754.0,192.7063449609933
38,16146.0,197.50137398376273
39,16486.0,201.6603277280015
40,16821.0,205.75812038776618
41,17206.0,210.46752389227183
42,17597.0,215.25032069814645
43,17809.0,217.84355067984828
44,17931.0,219.33588114101627
45,18021.0,220.4367806615501
46,18451.0,225.69663392632265
47,18580.0,227.27458990575442
48,18719.0,228.97486805413442
49,18993.0,232.32649548331509
50,19141.0,234.1368635837484
51,19210.0,234.98088654949098
52,19324.0,236.3753592755005
53,19436.0,237.74536756772028
54,19563.0,239.29885911336243
55,19736.0,241.41503263616627
56,19815.0,242.38137777085706
57,19904.0,243.47004507449603
58,19972.0,244.3018358233438
59,20071.0,245.51282529593098
60,20214.0,247.26203231189024
61,20298.0,248.2895385310551
62,20376.0,249.24365144885107
63,20422.0,249.80633342601277
64,20491.0,250.65035639175534
65,20569.0,251.60446930955132
66,20621.0,252.24054458808195
67,20697.0,253.17019307208827
68,20740.0,253.6961783985655
69,20795.0,254.36895032778062
70,20844.0,254.9683289556268
71,20895.0,255.5921720172626
72,20960.0,256.3872661154259
73,20991.0,256.76646483916534
74,21050.0,257.48816563595966
75,21090.0,257.97745431175247
76,21132.0,258.4912074213349
77,21170.0,258.9560316633381
78,21234.0,259.7388935446066
79,21262.0,260.08139561766154
80,21294.0,260.47282655829576
81,21323.0,260.8275608482455
82,21356.0,261.23122400577455
83,21396.0,261.7205126815674
84,21436.0,262.20980135736016
85,21468.0,262.6012322979944
86,21519.0,263.22507535963024
87,21551.0,263.61650630026446
88,21578.0,263.9467761564246
89,21600.0,264.21588492811065
90,21619.0,264.4482970491122
91,21645.0,264.7663346883775
92,21673.0,265.1088367614325
93,21710.0,265.56142878654083
94,21719.0,265.6715187385942
95,21753.0,266.0874141130181
96,21796.0,266.61339943949537
97,21817.0,266.8702759942866
98,21838.0,267.1271525490778
99,21856.0,267.34733245318455
100,21893.0,267.7999244782929
101,21913.0,268.04456881618927
102,21940.0,268.3748386723494
103,21941.0,268.3870708892443
104,22566.0,276.0322064485067
105,22574.0,276.1300641836653
106,22593.0,276.36247630466687
107,22610.0,276.5704239918788
108,22630.0,276.81506832977516
109,22661.0,277.1942670535146
110,22672.0,277.3288214393576
111,22690.0,277.5490013434644
112,22696.0,277.62239464483326
113,22719.0,277.90373563341416
114,22739.0,278.14837997131053
115,22750.0,278.2829343571536
116,22755.0,278.3440954416277
117,22795.0,278.83338411742045
118,22808.0,278.9924029370531
119,22825.0,279.20035062426507
120,22842.0,279.408298311477
121,22848.0,279.48169161284596
122,22859.0,279.61624599868895
123,22872.0,279.7752648183216
124,22882.0,279.8975869872698
125,22895.0,280.0566058069025
126,22899.0,280.10553467448176
127,22934.0,280.53366226580044
128,22936.0,280.5581266995901
129,22947.0,280.6926810854331
130,22956.0,280.8027710374865
131,22970.0,280.97402207401393
132,22977.0,281.0596475922777
133,22982.0,281.1208086767518
134,22996.0,281.2920597132793
135,23002.0,281.3654530146482
136,23007.0,281.42661409912233
137,23012.0,281.4877751835964
138,23021.0,281.5978651356498
139,23027.0,281.6712584370187
140,23034.0,281.75688395528243
141,23563.0,288.2277266926422
142,23567.0,288.27665556022146
143,23575.0,288.37451329538004
144,23580.0,288.4356743798541
145,23586.0,288.50906768122303
146,23592.0,288.58246098259195
147,23602.0,288.70478315154014
148,23610.0,288.8026408866987
149,23615.0,288.8638019711728
150,23621.0,288.93719527254177
151,23628.0,289.0228207908055
152,23634.0,289.09621409217436
153,23642.0,289.19407182733295
154,23643.0,289.2063040442278
155,23639.0,289.15737517664854
156,23641.0,289.18183961043815
157,23646.0,289.2430006949122
158,23658.0,289.38978729765006
159,23662.0,289.4387161652294
160,23666.0,289.48764503280864
161,23669.0,289.5243416834931
162,23674.0,289.5855027679672
163,23680.0,289.6588960693361
164,23683.0,289.69559272002056
165,23689.0,289.7689860213895
166,23695.0,289.8423793227584
167,23703.0,289.940237057917
168,23708.0,290.00139814239105
169,23710.0,290.0258625761807
170,23716.0,290.09925587754964
171,23721.0,290.16041696202376
172,23721.0,290.16041696202376
